videoId,channelId,title,description
_S7BC7wmteE,UC9YF78W5CzUQH3equ0wVYeA,FRYINGPAN @fryingpan9966  @FryingPanLIVEE  @fryingpan9966  @fryingpan9966,
J5CFkWwgVXM,UCxE6qpCeMGgyrae2fV-Lhhg,I hired a new intern!,Instagram ▻ https://www.instagram.com/fryingpan.ig Twitter ▻ https://twitter.com/CodeFryingPan Other channels ▻ @FryingPan ...
ivH26SLXld8,UCfeMEuhdUtxtaUMNSvxq_Xg,When you work from home,love my job btw. internship update soon;) WATCH ME LIVE ▻ https://www.twitch.tv/fryingpan 2nd channel ▻ @FryingPanLIVEE ...
JLEVJ1BLqKk,UCfeMEuhdUtxtaUMNSvxq_Xg,i failed my exams for this job offer (as a software engineer),"yo, i got a job at meta facebook give me ur data. my Coinbase & Cisco offer details: https://youtu.be/gBdI_OSZ1Es @2nd channel ..."
x89mL_cUXEA,UCfeMEuhdUtxtaUMNSvxq_Xg,I graduated + burnout,Filmed this about a week ago. I feel better now :) Travel vlog soon NEW VLOGS ONLY CHANNEL (no coding): @PansDay ...
By5KOsk1pZU,UCJKCD3sbyZLAv08iUkxQCXg,Cooking Crepes with Software Engineering Degenerates,"We were and Toronto and tried making breakfast in an airbnb... Come catch me live every sunday 6pm EST! We code, talk about ..."
iwQMtiDJJak,UCxE6qpCeMGgyrae2fV-Lhhg,Nang wild for that one #shorts,Instagram ▻ https://www.instagram.com/fryingpan.ig Twitter ▻ https://twitter.com/CodeFryingPan Other channels ▻ @FryingPan ...
KrM0HWGBXBo,UCfeMEuhdUtxtaUMNSvxq_Xg,Things Aren&#39;t Going Well...,CURRENTLY IN VEGAS TWITCHCON UPLOADING THIS VIDEO AT 3AM JUST TO KEEP THE STREAK TY FOR THE SUPPORT ...
kAGqDu5YamQ,UCxE6qpCeMGgyrae2fV-Lhhg,I Got Hate Crimed...,Instagram ▻ https://www.instagram.com/fryingpan.ig Twitter ▻ https://twitter.com/CodeFryingPan Other channels ▻ @FryingPan ...
bcH9Tq_FG-U,UCfeMEuhdUtxtaUMNSvxq_Xg,When It&#39;s Your First Coding Interview,yo @twitter - https://twitter.com/CodeFryingPan @twitch - https://www.twitch.tv/fryingpan @2nd channel - @FryingPanLIVEE ...
E_7W58FOAwo,UCfeMEuhdUtxtaUMNSvxq_Xg,I gave away 1200$ to roast my viewers&#39; coding projects,The first 1000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/fryingpan02221 ...
YZ5tOe7y9x4,UCfeMEuhdUtxtaUMNSvxq_Xg,Software engineer interns on their first day be like...,it's either this or you're sitting around with nothing to do. update: got a job at facebook :D https://youtu.be/JLEVJ1BLqKk @2nd ...
XokyThIFd-4,UCfeMEuhdUtxtaUMNSvxq_Xg,Day in a life as a Software Engineer and YouTuber,2nd channel for more memes ▻ @FryingPanLIVEE Twitter - updates ▻ https://twitter.com/CodeFryingPan Twitch - watch me live ...
eNIHhsZykWw,UCxE6qpCeMGgyrae2fV-Lhhg,Doing What You Love vs What You Must,"Hi I'm Pan, welcome to my new vlogs channel :) Previous vlog: https://youtu.be/KrM0HWGBXBo?si=cUYarWdtpB2vRcCs Yo ..."
